country_code,country,cities_pct,rural_pct,gap_pp
RO,Romania,3.3,27.5,24.2
BG,Bulgaria,4.2,18.8,14.6
HU,Hungary,5.3,17.0,11.7
FI,Finland,6.2,15.1,8.9
DK,Denmark,6.7,15.0,8.3
CY,Cyprus,7.6,12.8,5.2
SE,Sweden,5.9,10.4,4.5
EE,Estonia,8.0,12.1,4.1
LV,Latvia,6.0,9.5,3.5
EL,Greece,2.5,6.0,3.5
LT,Lithuania,4.4,7.6,3.2
ES,Spain,12.8,14.4,1.6
PT,Portugal,8.1,9.4,1.3
EU27_2020,EU-27 average,8.6,9.9,1.3
FR,France,6.7,7.3,0.6
PL,Poland,3.2,3.4,0.2
NL,Netherlands,5.9,5.6,-0.3
IE,Ireland,4.2,3.5,-0.7
SI,Slovenia,5.4,4.5,-0.9
BE,Belgium,7.2,6.1,-1.1
IT,Italy,11.4,10.1,-1.3
DE,Germany,12.6,10.8,-1.8
CZ,Czechia,6.5,4.7,-1.8
AT,Austria,11.3,6.1,-5.2
